File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
DAYMET_004_tmax_doy2012001_aid0001,tmax,aid0001,2012-01-01,37363,0.55,12.0,"(0.55,12.0)",8.1745739,1.7819065,3.1751907,9.71,12.0,7.8800001,3.3199999,7.1500001
DAYMET_004_tmax_doy2012002_aid0001,tmax,aid0001,2012-01-02,37363,-2.0999999,10.9499998,"(-2.0999999,10.9499998)",5.9156442,1.6594249,2.753691,7.0500002,10.5,5.75,1.3,4.75
DAYMET_004_tmax_doy2012003_aid0001,tmax,aid0001,2012-01-03,37363,-13.9799995,3.21,"(-13.9799995,3.21)",-2.7124596,2.2657247,5.1335082,-1.15,3.21,-2.8800001,-8.79,-4.21
DAYMET_004_tmax_doy2012004_aid0001,tmax,aid0001,2012-01-04,37363,-14.9200001,-0.45,"(-14.9200001,-0.45)",-4.9298172,1.9094397,3.6459599,-3.5899999,-0.45,-4.5799999,-9.7399998,-6.0500002
DAYMET_004_tmax_doy2012005_aid0001,tmax,aid0001,2012-01-05,37363,-10.5200005,3.95,"(-10.5200005,3.95)",0.3799551,2.1403055,4.5809077,2.02,3.95,0.7,-4.4499998,-0.57
DAYMET_004_tmax_doy2012006_aid0001,tmax,aid0001,2012-01-06,37363,-7.1199999,10.8400002,"(-7.1199999,10.8400002)",2.4602501,4.6527944,21.6484954,7.405,10.8400002,1.71,-7.1199999,-2.03
DAYMET_004_tmax_doy2012007_aid0001,tmax,aid0001,2012-01-07,37363,-0.52,16.25,"(-0.52,16.25)",7.8630815,4.825562,23.2860486,12.6599998,16.25,7.1300001,-0.52,3.6500001
DAYMET_004_tmax_doy2012008_aid0001,tmax,aid0001,2012-01-08,37363,-4.7199998,9.9700003,"(-4.7199998,9.9700003)",4.3779068,2.2809074,5.2025385,6.0700002,9.9700003,4.1900001,-2.3,2.72
DAYMET_004_tmax_doy2012009_aid0001,tmax,aid0001,2012-01-09,37363,-6.6700001,5.52,"(-6.6700001,5.52)",2.1485953,1.7373354,3.0183344,3.53,5.52,2.1900001,-3.0899999,0.88
DAYMET_004_tmax_doy2012010_aid0001,tmax,aid0001,2012-01-10,37363,-4.79,8.2700005,"(-4.79,8.2700005)",5.0853138,2.0713189,4.2903618,6.8200002,8.2700005,5.2600002,-0.58,3.8599999
DAYMET_004_tmax_doy2012011_aid0001,tmax,aid0001,2012-01-11,37363,-5.7199998,6.4299998,"(-5.7199998,6.4299998)",1.9690783,1.9931141,3.9725039,3.8,6.4299998,1.6900001,-4.6599998,0.37
DAYMET_004_tmax_doy2012012_aid0001,tmax,aid0001,2012-01-12,37363,-6.0300002,9.5299997,"(-6.0300002,9.5299997)",0.722638,2.7073801,7.3299068,2.71,7.9099998,-0.17,-6.0300002,-1.27
DAYMET_004_tmax_doy2012013_aid0001,tmax,aid0001,2012-01-13,37363,-2.5999999,13.8699999,"(-2.5999999,13.8699999)",4.1911926,3.8412137,14.7549227,7.0700002,13.8699999,2.71,-2.5999999,1.09
DAYMET_004_tmax_doy2012014_aid0001,tmax,aid0001,2012-01-14,37363,-13.0799999,2.8199999,"(-13.0799999,2.8199999)",-1.4144022,2.5307174,6.4045304,0.96,2.8199999,-1.63,-9.7700005,-3.3399999
DAYMET_004_tmax_doy2012015_aid0001,tmax,aid0001,2012-01-15,37363,-20.9699993,-2.6400001,"(-20.9699993,-2.6400001)",-9.4681969,2.3564475,5.5528446,-7.9400001,-3.1400001,-9.8999996,-15.9200001,-11.1400003
DAYMET_004_tmax_doy2012016_aid0001,tmax,aid0001,2012-01-16,37363,-9.3500004,2.6700001,"(-9.3500004,2.6700001)",-2.0987859,2.155951,4.6481248,-0.18,2.6700001,-2.0799999,-8.7200003,-3.5999999
DAYMET_004_tmax_doy2012017_aid0001,tmax,aid0001,2012-01-17,37363,-0.17,10.0699997,"(-0.17,10.0699997)",5.0784998,2.6472213,7.0077808,7.6999998,10.0699997,4.8200002,-0.17,2.77
DAYMET_004_tmax_doy2012018_aid0001,tmax,aid0001,2012-01-18,37363,-6.2600002,13.25,"(-6.2600002,13.25)",3.701916,2.56426,6.5754294,5.1500001,10.0799999,3.48,-3.0599999,1.86
DAYMET_004_tmax_doy2012019_aid0001,tmax,aid0001,2012-01-19,37363,-11.71,3.9300001,"(-11.71,3.9300001)",-2.2419655,1.8929931,3.5834228,-0.88,3.03,-2.4100001,-7.4000001,-3.49
DAYMET_004_tmax_doy2012020_aid0001,tmax,aid0001,2012-01-20,37363,-13.6700001,2.5799999,"(-13.6700001,2.5799999)",-2.761801,1.8634595,3.4724812,-1.25,2.5799999,-2.7,-7.9699998,-3.9400001
DAYMET_004_tmax_doy2012021_aid0001,tmax,aid0001,2012-01-21,37363,-16.5900002,-0.21,"(-16.5900002,-0.21)",-7.2101178,1.7641901,3.1123666,-6.3099999,-3.1099999,-7.02,-11.6599998,-8.4499998
DAYMET_004_tmax_doy2012022_aid0001,tmax,aid0001,2012-01-22,37363,-6.7199998,1.35,"(-6.7199998,1.35)",-3.0477867,1.4046496,1.9730405,-1.99,0.99,-3.3900001,-6.7199998,-3.98
DAYMET_004_tmax_doy2012023_aid0001,tmax,aid0001,2012-01-23,37363,-0.33,10.9700003,"(-0.33,10.9700003)",4.217133,2.9729784,8.8386003,6.9299998,10.9700003,3.53,-0.33,1.65
DAYMET_004_tmax_doy2012024_aid0001,tmax,aid0001,2012-01-24,37363,2.0799999,15.04,"(2.0799999,15.04)",9.9161587,2.3651648,5.5940043,11.4799995,15.04,10.1199999,4.29,8.6000004
DAYMET_004_tmax_doy2012025_aid0001,tmax,aid0001,2012-01-25,37363,-7.2800002,8.1700001,"(-7.2800002,8.1700001)",3.9118438,2.0973756,4.3989845,5.3000002,8.1700001,3.8699999,-1.37,2.6300001
DAYMET_004_tmax_doy2012026_aid0001,tmax,aid0001,2012-01-26,37363,-4.7199998,6.2199998,"(-4.7199998,6.2199998)",3.7340195,1.3486823,1.8189439,4.8400002,6.2199998,3.8399999,-0.16,2.8399999
DAYMET_004_tmax_doy2012027_aid0001,tmax,aid0001,2012-01-27,37363,-1.42,14.3199997,"(-1.42,14.3199997)",4.0160437,2.300009,5.2900415,5.2199998,9.5699997,3.49,-1.42,2.3199999
DAYMET_004_tmax_doy2012028_aid0001,tmax,aid0001,2012-01-28,37363,-3.0699999,9.0,"(-3.0699999,9.0)",5.893137,1.694501,2.8713338,7.4499998,9.0,5.8699999,0.27,4.5700002
DAYMET_004_tmax_doy2012029_aid0001,tmax,aid0001,2012-01-29,37363,-6.4499998,7.4299998,"(-6.4499998,7.4299998)",4.0813289,1.7787499,3.1639514,5.6900001,7.4299998,4.0700002,-1.1799999,2.9400001
DAYMET_004_tmax_doy2012030_aid0001,tmax,aid0001,2012-01-30,37363,-9.71,5.27,"(-9.71,5.27)",1.4850889,1.992582,3.9703829,3.1400001,5.27,1.49,-4.4699998,0.09
DAYMET_004_tmax_doy2012031_aid0001,tmax,aid0001,2012-01-31,37363,-5.3699999,12.4200001,"(-5.3699999,12.4200001)",1.8164465,4.7957635,22.9993475,6.0599999,12.4200001,0.32,-5.3699999,-2.1800001
DAYMET_004_tmax_doy2012032_aid0001,tmax,aid0001,2012-02-01,37363,-0.26,15.5600004,"(-0.26,15.5600004)",8.0966301,4.4162126,19.5029334,12.6149998,15.5600004,7.3200002,-0.26,4.1199999
DAYMET_004_tmax_doy2012033_aid0001,tmax,aid0001,2012-02-02,37363,-6.3099999,11.1999998,"(-6.3099999,11.1999998)",3.228683,2.6473579,7.0085041,4.98,10.6400003,3.0599999,-4.5700002,1.16
DAYMET_004_tmax_doy2012034_aid0001,tmax,aid0001,2012-02-03,37363,-9.5,4.29,"(-9.5,4.29)",1.4798054,1.7843121,3.1837698,3.1199999,4.29,1.36,-3.77,0.36
DAYMET_004_tmax_doy2012035_aid0001,tmax,aid0001,2012-02-04,37363,-10.6899996,7.48,"(-10.6899996,7.48)",2.1018496,2.733793,7.4736243,4.4299998,7.48,1.66,-6.3099999,0.13
DAYMET_004_tmax_doy2012036_aid0001,tmax,aid0001,2012-02-05,37363,-9.4300003,3.49,"(-9.4300003,3.49)",1.0016005,1.5353755,2.3573779,2.1600001,3.49,1.27,-2.79,0.18
DAYMET_004_tmax_doy2012037_aid0001,tmax,aid0001,2012-02-06,37363,-2.5899999,10.9700003,"(-2.5899999,10.9700003)",8.248271,1.6915478,2.8613338,9.5900002,10.9700003,8.3400002,4.4000001,7.5100002
